Region;Sub Region;Country;Status;Group;Year;Value;Rate
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2013;12733;110.4999321
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2014;16249;136.8349402
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2015;14574;119.1172086
Africa;Eastern Africa;Kenya;Persons prosecuted;Total;2014;84845;184.3484685
Africa;Eastern Africa;Kenya;Persons prosecuted;Total;2015;90722;192.0600867
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2006;423734;1143.618234
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2007;408097;1071.517027
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2008;347169;886.8021633
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2009;443904;1103.217808
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2010;394557;954.1851261
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2011;348280;819.7362011
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2012;346384;793.6099716
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2013;323414;721.4738649
Africa;Eastern Africa;Kenya;Persons brought before the Criminal Court;Total;2014;503144;1093.21499
Africa;Eastern Africa;Kenya;Persons convicted;Total;2007;408097;1071.517027
Africa;Eastern Africa;Kenya;Persons convicted;Total;2008;347169;886.8021633
Africa;Eastern Africa;Kenya;Persons convicted;Total;2009;413092;1026.641911
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Total;2010;35844;169.462037
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Total;2011;34908;160.5412154
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Total;2012;31024;138.8311308
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Total;2013;32557;141.7917033
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Total;2014;33649;142.6421529
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Total;2015;27224;112.3376295
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults;2010;36628;348.9581368
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults;2011;36550;336.7289058
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults;2012;31860;283.7252069
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults;2013;32346;278.3226607
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults;2014;26264;218.2888924
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults;2015;17507;140.5158465
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Males;2010;33371;643.112285
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Males;2011;33659;627.3605936
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Males;2012;29435;530.3980138
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Males;2013;29452;512.8399794
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Males;2014;23994;403.5982379
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Males;2015;13808;224.3048831
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Females;2010;3257;61.36711307
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Females;2011;2891;52.66663315
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Females;2012;2425;42.69754835
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Females;2013;2894;49.22883891
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Females;2014;2270;37.29520088
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Adults Females;2015;3699;58.68460807
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles;2010;2147;20.2869771
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles;2011;2038;18.82776732
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles;2012;2191;19.80198915
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles;2013;2448;21.65836164
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles;2014;1983;17.1837818
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles;2015;2734;23.21612643
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Males;2010;767;14.44213805
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Males;2011;644;11.84952502
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Males;2012;561;10.09247659
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Males;2013;788;13.86905186
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Males;2014;802;13.8171971
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Males;2015;1587;26.77778689
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Females;2010;404;7.662695721
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Females;2011;277;5.139507954
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Females;2012;325;5.902708471
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Females;2013;331;5.888552299
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Females;2014;339;5.910466372
Africa;Eastern Africa;Madagascar;Persons brought into Formal Contact;Juveniles Females;2015;694;11.86376906
Africa;Eastern Africa;Madagascar;Persons brought before the Criminal Court;Total;2010;65065;307.6120811
Africa;Eastern Africa;Madagascar;Persons brought before the Criminal Court;Total;2011;57894;266.2533839
Africa;Eastern Africa;Madagascar;Persons brought before the Criminal Court;Total;2012;34029;152.2783829
Africa;Eastern Africa;Madagascar;Persons brought before the Criminal Court;Total;2013;50354;219.3009007
Africa;Eastern Africa;Madagascar;Persons brought before the Criminal Court;Total;2014;37200;157.6952684
Africa;Eastern Africa;Madagascar;Persons brought before the Criminal Court;Total;2015;42313;174.6011651
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2005;21506;1759.89748
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2006;20990;1709.14699
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2007;26203;2123.572932
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2008;26982;2177.209102
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2009;26042;2093.367974
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2010;26910;2156.327752
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Total;2011;19567;1564.079957
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2003;11255;1327.985992
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2004;11223;1314.113222
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2005;20028;2325.335686
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2006;19232;2215.367035
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2007;25125;2864.50792
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2008;25787;2904.314293
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2009;25093;2790.514054
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2010;26169;2873.765809
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults;2011;19024;2059.824118
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2005;18428;4358.726915
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2006;17702;4152.883934
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2007;23113;5365.49582
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2008;23655;5424.774398
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2009;22540;5106.074507
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2010;24168;5411.72361
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Males;2011;17309;3828.095109
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2005;1600;364.6756894
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2006;1530;346.0066759
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2007;2012;450.4847413
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2008;2132;471.8066743
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2009;2553;558.1999418
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2010;2001;432.3196184
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Adults Females;2011;1715;365.4908446
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2005;1478;409.7463066
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2006;1758;488.8819675
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2007;1078;302.9085402
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2008;1195;341.3047266
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2009;949;276.0895938
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2010;741;219.6635975
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles;2011;543;164.7876424
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2005;1053;575.5261993
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2006;1272;697.1620244
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2007;858;475.017301
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2008;987;555.2617663
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2009;857;490.9767975
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2010;642;374.6914049
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Males;2011;491;293.1308283
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2005;425;239.1025497
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2006;486;274.3561662
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2007;220;125.5285035
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2008;208;120.6671501
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2009;92;54.37962892
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2010;97;58.43619912
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Juveniles Females;2011;52;32.0957936
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2005;20664;1690.994212
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2006;20165;1641.969941
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2007;26162;2120.250164
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2008;26879;2168.897912
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2009;25993;2089.429143
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2010;26863;2152.561591
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;National Citizens;2011;19524;1560.64277
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2005;842;68.90326783
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2006;825;67.17704939
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2007;41;3.322768012
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2008;103;8.311190332
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2009;49;3.938830762
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2010;47;3.76616144
Africa;Eastern Africa;Mauritius;Persons brought into Formal Contact;Foreign Citizens;2011;43;3.437187006
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2003;15777;1304.969255
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2004;16606;1365.987841
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2005;8998;736.3320712
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2006;11515;937.628756
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2007;16139;1307.95495
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2008;15715;1268.061709
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2009;20689;1663.070809
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2010;20830;1669.130698
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2011;15115;1208.2112
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2012;13276;1059.223486
Africa;Eastern Africa;Mauritius;Persons prosecuted;Total;2013;14555;1159.493026
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2003;24799;2051.209518
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2004;27502;2262.278549
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2005;28157;2304.167829
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2006;35214;2867.360748
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2007;39071;3166.435829
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2008;30615;2470.360117
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2009;34919;2806.939416
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2010;34050;2728.463767
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2011;33886;2708.66323
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2012;35419;2825.899115
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2013;38406;3059.53206
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2014;39652;3153.945335
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2015;41929;3329.135754
Africa;Eastern Africa;Mauritius;Persons brought before the Criminal Court;Total;2016;42883;3396.976775
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2003;20257;1675.525271
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2004;21594;1776.294197
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2005;21804;1784.283672
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2006;26236;2136.311597
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2007;28939;2345.306914
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2008;22548;1819.424462
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2009;26080;2096.422577
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2010;25032;2005.841557
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2011;24705;1974.783837
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2012;25478;2032.758058
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2013;27663;2203.713883
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2014;27622;2197.071473
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2015;28090;2230.328015
Africa;Eastern Africa;Mauritius;Persons convicted;Total;2016;28004;2218.336815
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2003;20176;2380.581553
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2004;21459;2512.657546
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2005;21708;2520.390807
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2006;26077;3003.854315
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2007;28873;3291.818395
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2008;22455;2529.04089
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2009;25956;2886.485585
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2010;24873;2731.444724
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2011;24523;2655.228493
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2012;25309;2704.322813
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2013;27467;2899.360002
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2014;27251;2843.269107
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2015;27859;2874.610479
Africa;Eastern Africa;Mauritius;Persons convicted;Adults;2016;27763;2867.269871
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2004;20946;4997.530581
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2005;21050;4978.901756
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2006;25331;5942.645065
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2007;27946;6487.437641
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2008;21506;4931.946658
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2009;25228;5714.997678
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2010;24132;5403.662452
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2011;22909;5066.602972
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2012;23810;5210.077046
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2013;25937;5623.039351
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2014;25543;5488.149439
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2015;26080;5553.721824
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Males;2016;25960;5491.05377
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2003;375;86.89405876
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2004;513;117.9524557
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2005;658;149.9728772
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2006;746;168.706523
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2007;927;207.5543515
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2008;949;210.0115075
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2009;728;159.1733481
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2010;741;160.0943714
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2011;1614;343.9663109
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2012;1499;315.492602
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2013;1530;318.3653086
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2014;1708;351.5018059
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2015;1779;362.2000753
Africa;Eastern Africa;Mauritius;Persons convicted;Adults Females;2016;1803;363.8704678
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2003;81;22.39685006
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2004;135;37.31353597
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2005;96;26.61410381
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2006;159;44.21628717
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2007;66;18.54542083
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2008;93;26.56179044
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2009;124;36.07493112
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2010;159;47.1342942
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2011;182;55.23269047
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2012;169;52.4091136
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2013;196;61.98353641
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2014;371;119.6280246
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2015;231;75.96884948
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles;2016;241;83.28811814
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2003;58;31.66163538
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2004;92;50.1687743
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2005;76;41.53845313
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2006;132;72.34700253
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2007;57;31.55709343
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2008;81;45.5685948
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2009;109;62.44629046
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2010;131;76.4557228
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2011;158;94.32723191
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2012;146;89.01190687
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2013;166;103.1562071
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2014;319;202.0483523
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2015;202;130.4521912
Africa;Eastern Africa;Mauritius;Persons convicted;Juveniles Males;2016;211;144.0843474
