Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Brazil;BRA;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;1934.998646;2053.092496;2120.998094;2045.821211;2055.599517;2019.117658;2047.619035;2168.31693;2359.688199;2203.168513;2542.773945;2802.9748;3051.830732;3252.914339;3558.322066;3291.62932;3776.626628;4111.993642;4091.949594;4416.997073;4698.990047;4482.435164;4520.794485;4644.853374;4972.539307;4806.211;4747.941686;4471.536723;4444.559328;4192.864242;4237.801682;4508.517622;4403.584184;4527.42688;4785.590227;5115.183437;5188.808891;5263.234746;5146.052875;5089.574886;5219.946069;5188.792295;5188.661632;5095.853014;5232.551104;5401.675359;5625.473409;5922.382587;6242.838208;6458.615508;6796.891945;7059.425629;7241.475591;7427.667093;7530.091984;7227.003748;6889.364555;6926.750673;7003.011808;
Barbados;BRB;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9598.047184;;;;;;;;;
Brunei Darussalam;BRN;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3859.56334;3931.972956;3757.134588;4468.765338;5093.197834;4570.751722;4241.351613;4607.283107;5080.850482;4479.57178;4257.677211;3877.441496;3959.183451;3909.646655;4444.312043;4904.046042;4800.451744;4910.258732;4945.779391;4973.576655;5160.676489;5189.474106;5400.586119;5790.212319;6057.000727;5791.809525;5978.162266;5833.927588;6004.662287;6109.499751;
Bhutan;BTN;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575.1129674;524.145847;616.4052728;706.5854604;755.3221689;910.075388;622.7495964;1035.275077;941.652214;1031.972585;1077.610576;1127.908858;1088.051748;1698.526941;1570.566282;1747.694013;1630.565557;1693.907257;;
Botswana;BWA;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;864.1865874;920.2621722;962.8689437;1043.741572;1129.595201;1109.77485;1050.62997;966.5168988;871.9524205;903.4414636;1021.452824;1051.534361;1013.458557;1062.864892;1282.78648;1518.521662;1620.015954;1555.577068;1480.415811;1478.304113;1687.420937;1736.953352;1924.924623;1920.948864;1880.602953;1818.809451;1705.124776;1758.12539;1750.97826;1773.013089;1927.435886;2214.546159;2492.881359;2861.804808;2961.614169;3162.469672;3363.672438;3278.818333;3569.601564;3554.985301;3641.550751;3655.88504;3811.953655;3886.530298;
Central African Republic;CAF;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;418.8942201;401.5312446;398.8078489;431.5130786;232.7230722;237.656885;240.5201355;259.3401313;257.7863272;287.7507891;
Canada;CAN;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;12513.41266;12851.15116;13574.05248;14311.82824;14818.64594;15161.66395;15730.78832;15979.86667;16293.59782;16502.37256;16569.07015;16561.90707;15946.29164;16183.61002;16646.90046;17303.80933;17718.98073;18164.65575;18670.15519;18963.65777;18936.01007;18493.79969;18558.14961;18696.36987;19027.31856;19254.07579;19619.60856;20375.30969;20760.01065;21402.38678;22065.72455;22352.21967;22994.53481;23413.532;23906.14046;24611.4956;25386.84834;26250.9547;26744.96588;26463.78621;27109.61048;27457.07168;27675.50261;28104.21652;28540.41607;28985.71011;29262.36281;29948.10237;30160.87593;
Central Europe and the Baltics;CEB;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4017.386473;4267.390435;4380.413149;4536.434059;4693.681326;4856.537604;5080.65188;5378.348194;5635.757535;5984.796229;6268.084177;6631.473775;7112.533423;7465.182202;7311.977046;7346.931667;7497.241215;7544.4933;7570.831943;7770.605921;8062.287075;8444.867048;8894.196077;9291.344209;
Switzerland;CHE;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;26689.29941;27813.63332;29103.24507;29686.70534;29383.70527;28537.25341;29006.8695;29987.27937;30650.25612;30978.54441;31666.42529;31796.94956;31691.40195;31952.91714;32354.04167;32899.48062;33645.61721;34435.82288;34913.30243;35507.56908;35699.09025;35897.51162;35670.41957;35215.7145;35362.13051;35436.64635;35696.91866;36177.35583;36846.48199;37418.6104;37876.65541;38417.28732;38297.52451;38178.61942;38567.79863;38932.18853;39235.39938;39812.55436;39884.27376;39904.43021;40179.21231;40030.86402;40534.16451;41121.2722;41139.52876;41384.14582;41516.78239;41636.29293;41717.16932;
Channel Islands;CHI;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;2261.451702;2342.082186;2387.970167;2438.696022;2376.760502;2330.139627;2546.859414;2588.06888;2642.457026;2736.336701;2676.466418;2980.056874;3158.880139;2904.648816;2336.795313;2037.94113;2011.842255;2298.475282;2434.424502;2554.242524;2691.714372;3009.237343;2529.989981;2352.107207;2333.531838;2276.870517;2357.143964;2488.117284;2620.562802;2839.789122;2854.841816;3057.258079;3421.916373;3616.756095;3851.32708;4166.306914;4494.714091;4771.717394;4939.637142;4830.829217;4971.799122;5016.88816;5069.311569;5243.262623;5618.716835;5988.940142;6368.046855;6746.098166;6951.40623;6818.848516;7470.255938;8002.602406;8405.473293;8704.488016;8842.671059;8924.676895;9039.915794;9176.642247;9414.771666;
China;CHN;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;452.0240973;499.2147977;523.8363854;554.0847469;600.7644724;665.8032838;708.7016704;770.2344218;815.5752991;878.081341;970.5584205;1064.683565;1205.652081;1315.566839;1446.710062;1612.708154;1853.207206;2025.277296;2177.87867;2348.378515;2528.621147;2724.270368;2893.254897;3154.062319;
Cote d'Ivoire;CIV;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;784.2917668;795.460631;812.9571489;760.2055501;813.2460145;826.8489722;888.8142197;985.6838699;1068.28216;1080.620508;1135.252688;
Cameroon;CMR;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;699.1839945;694.1535097;700.7448941;704.9475219;708.5045133;688.5227372;690.9281167;583.6972864;631.9885111;627.1053927;619.2775128;659.3182316;632.285412;612.1216486;651.3766756;741.540965;668.7076212;777.9418224;839.5429661;876.2141474;729.0111852;838.5051437;926.9299068;891.8781816;869.6547187;891.6778955;1071.958211;1085.972123;928.0809789;779.6395728;740.128716;700.9723031;613.5840743;691.9984456;702.7161994;698.7311156;707.7460391;750.9766508;758.3856755;784.9173444;809.3220659;818.6359604;820.2061954;852.2973219;866.0145176;885.4082236;889.5503602;903.4754636;908.8813943;899.7410209;902.0516118;903.9752441;920.1056839;950.815328;974.3491642;998.9332677;1005.235615;1021.0583;1041.52424;
Congo, Dem. Rep.;COD;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;283.6972323;285.5267873;280.9501227;262.3655304;241.0032758;249.6385482;230.1841818;227.1724933;219.2271172;191.7390735;229.8381017;232.9711027;241.4779908;234.0843587;243.19445;236.6471117;234.0462962;241.9947661;219.6309416;246.7431362;268.8866457;280.3291965;289.2613138;286.6819686;284.0493259;280.0715018;
Congo, Rep.;COG;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;706.516102;682.6920004;609.8026706;541.4208714;537.3167162;524.9229305;468.9621633;436.2247733;481.4205841;525.4008748;537.2396803;515.6494739;496.6495272;473.2002893;443.5357232;437.6322048;501.8699784;424.6587916;464.5463485;398.6861128;465.248247;539.7652404;771.6660362;621.6585326;647.4732017;653.3638903;592.1646172;583.7343596;570.0174232;556.9490261;505.7805234;567.7334251;427.9221642;473.8703871;549.6939639;634.8658926;705.3088535;677.3156501;369.7434783;691.4722772;654.8239565;779.7513261;560.3488331;607.5131039;633.3901352;712.3782134;719.3860322;765.7337202;901.7727157;930.4051343;1084.961484;967.2719805;695.015937;887.5237225;787.0393717;824.5370237;896.9691608;611.6460782;475.8070425;
Colombia;COL;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;1729.74362;1791.32734;1871.095004;1902.09029;2026.426789;1924.951769;2002.366645;1987.368564;2062.031036;2159.247806;2238.365668;2352.003617;2432.000382;2493.698828;2586.442014;2604.642919;2724.867188;2772.221514;2938.576199;2997.772099;3061.700917;3082.62355;3060.796578;3009.038485;3030.085745;3023.042036;3057.428962;3109.470769;3162.161617;3200.454888;3232.746467;3219.759373;3253.454413;3386.134172;3519.721798;3643.818085;3616.782736;3640.263966;3550.602959;3304.297496;3316.668602;3315.642633;3330.711297;3378.416961;3459.56723;3551.806996;3730.492367;3949.415942;4062.248212;4055.11069;4219.225196;4453.868203;4647.549313;4789.194912;4960.338299;5054.390352;5065.074452;5092.541766;5195.918275;
Comoros;COM;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;1287.345289;1295.93968;1339.2826;1365.63089;1383.199745;1375.441384;1361.196224;1343.47758;1339.369375;1258.903553;1284.549441;1180.039301;1243.804693;1244.616836;1145.780888;1154.389533;1108.619278;1122.682177;1107.447745;1100.021408;1188.981055;1187.10268;1185.71063;1182.153621;1176.5684;1181.467508;1184.091336;1156.717183;1181.190774;1202.661534;1196.299906;1221.440629;1243.512261;1255.213798;1244.036025;1224.211857;1234.826332;1257.735945;1252.627154;
Cabo Verde;CPV;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2073.930717;2082.042836;2182.207521;2129.032719;2148.045285;2191.97061;2203.002151;2201.141505;2243.137916;2270.395849;2403.779874;2411.540578;
Costa Rica;CRI;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;2231.21211;2528.290839;2457.012429;2547.697287;2587.256906;2983.894776;2894.124858;2954.716762;3043.64446;3089.775374;3302.320779;3254.120352;3320.196493;3373.667723;3458.815189;3446.254833;3498.841571;3873.359975;4087.088016;4074.310104;3894.060579;3466.606008;3049.679572;3133.910698;3271.239163;3321.589878;3404.566348;3440.221746;3423.882982;3506.949772;3558.108117;3433.278817;3665.723934;3908.726352;4005.132278;3990.672992;3966.278148;4060.537564;4149.307805;4120.352732;4077.944958;4101.437573;4196.42162;4296.592614;4342.368237;4486.738706;4650.330991;4938.01878;5157.526785;5139.96006;5324.700278;5588.473295;5862.17875;5964.678579;6143.194981;6357.620764;6539.868871;6653.598971;6715.870478;
Caribbean small states;CSS;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;CUB;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;1367.869428;1459.070434;1502.821368;1528.634506;1520.622715;1641.990426;1710.55392;1842.672057;1950.061411;1960.335784;1847.080312;2195.800899;2395.649591;2521.26596;2717.297624;2662.624818;2665.720151;2690.363506;2722.604785;2737.564748;2534.889119;2259.020445;1844.980345;1628.040973;1712.45583;1729.699617;1789.087809;1822.058568;1848.049727;1934.475775;1967.508256;2035.712024;2072.611834;2195.330553;2224.93868;2231.129441;2648.662358;2691.259959;2647.074321;2673.251309;2883.43884;2921.003694;3010.589919;3158.755394;3296.50309;3533.316058;3676.291445;3736.569067;3820.781531;
Curacao;CUW;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cayman Islands;CYM;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
