"country","country_text_id","year","regions","na_count","classification_core","freedom","equality","control","FKM_3_cluster","FKM_3_mb_FeC","FKM_3_mb_fEC","FKM_3_mb_FEc","FKM_4_cluster","FKM_4_mb_fEc","FKM_4_mb_FEc","FKM_4_mb_fEC","FKM_4_mb_FeC","FKM_5_cluster","FKM_5_mb_FEC","FKM_5_mb_fEc","FKM_5_mb_Fec","FKM_5_mb_FeC","FKM_5_mb_fEC","FKM_6_cluster","FKM_6_mb_FeC","FKM_6_mb_FEC","FKM_6_mb_Fec","FKM_6_mb_fEC","FKM_6_mb_fEc","FKM_6_mb_FEc"
"Albania","ALB",2007,"Europe",0,"Deficient Democracy",0.638638398301267,0.706232089635074,0.67410764105611,"fEC",0.044,0.673,0.283,"fEc",0.557,0.125,0.284,0.034,"FEC",0.65,0.199,0.045,0.018,0.089,"FEc",0.022,0.283,0.049,0.09,0.236,0.32
"Albania","ALB",2008,"Europe",0,"Deficient Democracy",0.640072311872427,0.706232089635074,0.674108269807687,"fEC",0.046,0.647,0.307,"fEc",0.56,0.13,0.275,0.034,"FEC",0.674,0.185,0.043,0.017,0.081,"FEc",0.022,0.289,0.05,0.087,0.225,0.329
"Albania","ALB",2009,"Europe",0,"Deficient Democracy",0.622914800283952,0.730422430923015,0.686657214314183,"fEC",0.001,0.994,0.005,"fEc",0.48,0.065,0.431,0.024,"fEc",0.243,0.435,0.047,0.023,0.252,"fEc",0.015,0.104,0.029,0.127,0.583,0.141
"Albania","ALB",2010,"Europe",0,"Deficient Democracy",0.623582601091834,0.72639423880256,0.685800421179769,"fEC",0.002,0.99,0.008,"fEc",0.457,0.066,0.452,0.025,"fEc",0.267,0.405,0.048,0.024,0.256,"fEc",0.017,0.124,0.032,0.14,0.53,0.158
"Albania","ALB",2011,"Europe",0,"Deficient Democracy",0.623582526735859,0.72639423880256,0.685800882053123,"fEC",0.002,0.99,0.008,"fEc",0.457,0.066,0.452,0.025,"fEc",0.267,0.405,0.048,0.024,0.256,"fEc",0.017,0.124,0.032,0.14,0.53,0.158
"Albania","ALB",2012,"Europe",0,"Deficient Democracy",0.622383910879769,0.72639423880256,0.685801329568518,"fEC",0.001,0.993,0.006,"fEC",0.445,0.066,0.465,0.025,"fEc",0.26,0.402,0.048,0.024,0.266,"fEc",0.017,0.121,0.032,0.143,0.534,0.153
"Albania","ALB",2013,"Europe",0,"Deficient Democracy",0.614754519035019,0.66056763917569,0.653343366820904,"fEC",0.09,0.571,0.339,"fEC",0.311,0.167,0.464,0.059,"FEC",0.724,0.101,0.047,0.024,0.104,"FEC",0.023,0.595,0.042,0.087,0.103,0.149
"Albania","ALB",2014,"Europe",0,"Deficient Democracy",0.615645144285595,0.673534288271819,0.676973311192569,"fEC",0.08,0.729,0.191,"fEC",0.134,0.063,0.77,0.032,"FEC",0.399,0.142,0.058,0.039,0.362,"FEC",0.033,0.408,0.045,0.235,0.146,0.133
"Albania","ALB",2015,"Europe",0,"Deficient Democracy",0.615670075553443,0.673628724686541,0.682180461101204,"fEC",0.088,0.724,0.187,"fEC",0.099,0.049,0.825,0.027,"fEC",0.334,0.131,0.055,0.041,0.44,"FEC",0.035,0.374,0.044,0.288,0.139,0.12
"Albania","ALB",2016,"Europe",0,"Deficient Democracy",0.615600076673426,0.673128258619165,0.680048349816997,"fEC",0.086,0.724,0.19,"fEC",0.111,0.055,0.805,0.03,"fEC",0.359,0.135,0.056,0.041,0.408,"FEC",0.034,0.391,0.045,0.266,0.141,0.124
"Albania","ALB",2017,"Europe",0,"Deficient Democracy",0.632115696451281,0.692930775039832,0.640761713574196,"FEc",0.036,0.236,0.728,"fEc",0.717,0.161,0.099,0.024,"FEC",0.658,0.227,0.058,0.014,0.042,"FEc",0.008,0.087,0.03,0.022,0.083,0.77
"Argentina","ARG",1916,"Latin America",0,"Deficient Democracy",0.60873583311566,0.468656230276198,0.664628207369424,"FeC",0.718,0.139,0.143,"FeC",0.078,0.107,0.128,0.687,"FeC",0.097,0.055,0.078,0.674,0.095,"FeC",0.644,0.113,0.064,0.079,0.045,0.054
"Argentina","ARG",1917,"Latin America",0,"Deficient Democracy",0.621111854924539,0.526170697711085,0.681881551450092,"FeC",0.729,0.137,0.134,"FeC",0.08,0.107,0.149,0.664,"FeC",0.114,0.059,0.08,0.633,0.114,"FeC",0.569,0.152,0.068,0.099,0.051,0.061
"Argentina","ARG",1918,"Latin America",0,"Deficient Democracy",0.619190184756256,0.536052739282357,0.677494227373037,"FeC",0.734,0.135,0.131,"FeC",0.082,0.11,0.157,0.651,"FeC",0.125,0.062,0.083,0.608,0.122,"FeC",0.528,0.176,0.071,0.106,0.054,0.065
"Argentina","ARG",1919,"Latin America",0,"Deficient Democracy",0.61043126624873,0.536261943187953,0.677494227373037,"FeC",0.693,0.16,0.148,"FeC",0.094,0.121,0.192,0.592,"FeC",0.143,0.072,0.091,0.544,0.15,"FeC",0.463,0.196,0.076,0.13,0.062,0.073
"Argentina","ARG",1920,"Latin America",0,"Deficient Democracy",0.618933797252747,0.536981699994632,0.67741923250716,"FeC",0.732,0.136,0.132,"FeC",0.082,0.111,0.16,0.647,"FeC",0.127,0.063,0.084,0.603,0.124,"FeC",0.521,0.179,0.071,0.108,0.055,0.066
"Argentina","ARG",1921,"Latin America",0,"Deficient Democracy",0.64815425136919,0.536981699994632,0.67741923250716,"FeC",0.856,0.067,0.077,"FeC",0.037,0.059,0.061,0.843,"FeC",0.055,0.026,0.043,0.832,0.043,"FeC",0.784,0.082,0.04,0.039,0.024,0.031
"Argentina","ARG",1922,"Latin America",0,"Deficient Democracy",0.649814547734843,0.537225826768004,0.676127502850991,"FeC",0.868,0.061,0.071,"FeC",0.033,0.053,0.054,0.86,"FeC",0.049,0.023,0.039,0.85,0.038,"FeC",0.804,0.074,0.037,0.035,0.021,0.028
"Argentina","ARG",1923,"Latin America",0,"Deficient Democracy",0.655152366250262,0.537551330605695,0.667121504077557,"FeC",0.923,0.034,0.043,"FeC",0.016,0.028,0.024,0.932,"FeC",0.025,0.012,0.021,0.924,0.017,"FeC",0.878,0.047,0.025,0.019,0.013,0.018
"Argentina","ARG",1924,"Latin America",0,"Deficient Democracy",0.668524516295596,0.526440676692269,0.662429742859572,"FeC",0.934,0.028,0.038,"FeC",0.005,0.008,0.006,0.981,"FeC",0.001,0,0.001,0.997,0.001,"FeC",0.993,0.002,0.002,0.001,0.001,0.001
"Argentina","ARG",1925,"Latin America",0,"Deficient Democracy",0.668524516295596,0.526440676692269,0.661980809816513,"FeC",0.935,0.027,0.037,"FeC",0.004,0.008,0.006,0.982,"FeC",0.001,0,0.001,0.998,0.001,"FeC",0.993,0.003,0.002,0.001,0.001,0.001
"Argentina","ARG",1926,"Latin America",0,"Deficient Democracy",0.639091638545403,0.549942475748544,0.661455794345574,"FeC",0.892,0.049,0.06,"FeC",0.043,0.073,0.071,0.813,"FeC",0.091,0.038,0.066,0.743,0.061,"FeC",0.619,0.166,0.066,0.06,0.037,0.052
"Argentina","ARG",1927,"Latin America",0,"Deficient Democracy",0.639091638545403,0.549942475748544,0.661455794345574,"FeC",0.892,0.049,0.06,"FeC",0.043,0.073,0.071,0.813,"FeC",0.091,0.038,0.066,0.743,0.061,"FeC",0.619,0.166,0.066,0.06,0.037,0.052
"Argentina","ARG",1928,"Latin America",0,"Deficient Democracy",0.571046761761997,0.544146956480512,0.66217408495797,"FeC",0.522,0.275,0.202,"fEC",0.134,0.142,0.362,0.361,"FeC",0.198,0.102,0.101,0.309,0.29,"FEC",0.24,0.26,0.078,0.244,0.087,0.092
"Argentina","ARG",1929,"Latin America",0,"Deficient Democracy",0.570159190971292,0.543309551494287,0.66208125371306,"FeC",0.521,0.276,0.203,"fEC",0.134,0.142,0.363,0.361,"FeC",0.198,0.102,0.101,0.308,0.291,"FEC",0.24,0.258,0.078,0.245,0.087,0.092
"Argentina","ARG",1984,"Latin America",0,"Deficient Democracy",0.710143111087355,0.838989727400994,0.708133024402888,"FEc",0.074,0.408,0.518,"fEc",0.739,0.134,0.097,0.03,"fEc",0.131,0.718,0.074,0.02,0.057,"FEc",0.021,0.083,0.07,0.055,0.373,0.398
"Argentina","ARG",1985,"Latin America",0,"Deficient Democracy",0.726915581531473,0.820695185108074,0.708337539917271,"FEc",0.059,0.259,0.682,"fEc",0.706,0.183,0.081,0.029,"fEc",0.199,0.6,0.119,0.024,0.057,"FEc",0.016,0.072,0.069,0.035,0.185,0.622
"Argentina","ARG",1986,"Latin America",0,"Deficient Democracy",0.726886051390473,0.824614434726146,0.708337539917271,"FEc",0.063,0.275,0.662,"fEc",0.703,0.182,0.085,0.03,"fEc",0.191,0.609,0.117,0.025,0.058,"FEc",0.018,0.076,0.074,0.039,0.206,0.587
"Argentina","ARG",1987,"Latin America",0,"Deficient Democracy",0.715809238110278,0.83488368057309,0.716025367629339,"FEc",0.066,0.399,0.535,"fEc",0.796,0.106,0.076,0.022,"fEc",0.113,0.771,0.057,0.015,0.044,"FEc",0.018,0.075,0.06,0.047,0.355,0.445
"Argentina","ARG",1988,"Latin America",0,"Deficient Democracy",0.719783764101814,0.83488368057309,0.706172252267941,"FEc",0.073,0.341,0.586,"fEc",0.705,0.166,0.096,0.033,"fEc",0.162,0.651,0.101,0.024,0.061,"FEc",0.022,0.085,0.08,0.051,0.288,0.474
"Argentina","ARG",1989,"Latin America",0,"Deficient Democracy",0.721872093748983,0.820831109279469,0.720210812729955,"FEc",0.053,0.331,0.616,"fEc",0.856,0.081,0.049,0.014,"fEc",0.133,0.761,0.056,0.013,0.037,"FEc",0.012,0.06,0.044,0.031,0.219,0.635
"Argentina","ARG",1990,"Latin America",0,"Deficient Democracy",0.627922976126091,0.802069801357672,0.693569794194607,"fEC",0.054,0.736,0.211,"fEc",0.654,0.096,0.215,0.035,"fEc",0.118,0.692,0.047,0.021,0.122,"fEc",0.01,0.04,0.022,0.054,0.785,0.089
"Argentina","ARG",1991,"Latin America",0,"Deficient Democracy",0.630381734851606,0.796872769551993,0.701307200076381,"fEC",0.043,0.793,0.164,"fEc",0.639,0.088,0.241,0.033,"fEc",0.122,0.673,0.045,0.021,0.14,"fEc",0.007,0.03,0.015,0.044,0.843,0.062
"Argentina","ARG",1992,"Latin America",0,"Deficient Democracy",0.628876778494082,0.802228587600386,0.707012005932265,"fEC",0.045,0.794,0.161,"fEc",0.591,0.094,0.278,0.037,"fEc",0.135,0.614,0.051,0.025,0.176,"fEc",0.011,0.041,0.02,0.066,0.784,0.078
"Argentina","ARG",1993,"Latin America",0,"Deficient Democracy",0.625062760152567,0.805972323282943,0.702372275999089,"fEC",0.053,0.761,0.187,"fEc",0.594,0.1,0.266,0.04,"fEc",0.135,0.616,0.054,0.026,0.169,"fEc",0.013,0.048,0.025,0.074,0.746,0.094
"Argentina","ARG",1994,"Latin America",2,"Deficient Democracy",0.622668801930244,0.809657744020856,0.702207748981716,"fEC",0.057,0.746,0.197,"fEc",0.579,0.105,0.273,0.042,"fEc",0.14,0.596,0.058,0.028,0.178,"fEc",0.015,0.055,0.029,0.086,0.709,0.105
"Argentina","ARG",1995,"Latin America",0,"Deficient Democracy",0.646296746593712,0.811680966880108,0.726694715865325,"fEC",0.036,0.836,0.128,"fEc",0.57,0.088,0.307,0.035,"fEc",0.139,0.588,0.049,0.024,0.2,"fEc",0.009,0.038,0.017,0.065,0.803,0.068
"Argentina","ARG",1996,"Latin America",0,"Deficient Democracy",0.645020602256991,0.811680966880108,0.722395913375397,"fEC",0.039,0.82,0.141,"fEc",0.594,0.088,0.282,0.035,"fEc",0.134,0.618,0.048,0.023,0.177,"fEc",0.009,0.035,0.016,0.057,0.818,0.065
"Argentina","ARG",1997,"Latin America",0,"Deficient Democracy",0.655988933437746,0.79454874076555,0.73213553040152,"fEC",0.013,0.94,0.047,"fEc",0.526,0.072,0.374,0.029,"fEc",0.16,0.53,0.044,0.023,0.244,"fEc",0.008,0.041,0.015,0.072,0.798,0.066
"Argentina","ARG",1998,"Latin America",0,"Deficient Democracy",0.663488442577132,0.79454874076555,0.722395913375397,"fEC",0.019,0.894,0.088,"fEc",0.741,0.057,0.183,0.019,"fEc",0.112,0.748,0.03,0.013,0.098,"fEc",0.001,0.007,0.003,0.008,0.966,0.015
"Argentina","ARG",1999,"Latin America",0,"Deficient Democracy",0.644187907189822,0.814653846860689,0.725035811028428,"fEC",0.041,0.816,0.143,"fEc",0.572,0.091,0.3,0.037,"fEc",0.139,0.59,0.051,0.025,0.195,"fEc",0.01,0.041,0.019,0.07,0.784,0.075
"Argentina","ARG",2000,"Latin America",0,"Deficient Democracy",0.678021953634878,0.813339131471703,0.744560538209086,"fEC",0.016,0.919,0.065,"fEc",0.65,0.066,0.26,0.024,"fEc",0.138,0.655,0.037,0.018,0.152,"fEc",0.003,0.018,0.007,0.025,0.914,0.033
"Argentina","ARG",2001,"Latin America",0,"Deficient Democracy",0.697558556937793,0.794618143746119,0.745351279405885,"fEC",0.014,0.907,0.078,"fEc",0.713,0.061,0.207,0.019,"fEc",0.279,0.529,0.044,0.018,0.13,"fEc",0.014,0.112,0.031,0.082,0.553,0.208
"Argentina","ARG",2002,"Latin America",0,"Deficient Democracy",0.702214517236904,0.803694635040621,0.702405090149584,"FEc",0.054,0.35,0.596,"fEc",0.866,0.073,0.047,0.013,"fEc",0.119,0.785,0.049,0.012,0.035,"FEc",0.012,0.062,0.044,0.033,0.245,0.604
"Argentina","ARG",2003,"Latin America",0,"Deficient Democracy",0.70520896840391,0.781906386408936,0.706925278034755,"FEc",0.037,0.242,0.721,"fEc",0.865,0.08,0.044,0.012,"fEc",0.298,0.566,0.073,0.016,0.047,"FEc",0.003,0.021,0.012,0.008,0.045,0.911
"Argentina","ARG",2004,"Latin America",0,"Deficient Democracy",0.702546280192927,0.781906386408936,0.715094876872508,"FEc",0.041,0.365,0.594,"fEc",0.917,0.042,0.033,0.007,"fEc",0.309,0.577,0.053,0.014,0.047,"FEc",0.007,0.056,0.024,0.022,0.132,0.758
"Argentina","ARG",2005,"Latin America",0,"Deficient Democracy",0.707927996664877,0.767320346083385,0.721546826770663,"FEc",0.042,0.302,0.656,"fEc",0.679,0.167,0.126,0.028,"FEC",0.745,0.162,0.044,0.012,0.037,"FEc",0.013,0.152,0.041,0.036,0.122,0.637
"Argentina","ARG",2006,"Latin America",0,"Deficient Democracy",0.70567600805777,0.769805924909006,0.722404949110692,"FEc",0.043,0.366,0.591,"fEc",0.726,0.133,0.118,0.024,"FEC",0.676,0.218,0.047,0.014,0.046,"FEc",0.013,0.146,0.04,0.039,0.145,0.616
"Argentina","ARG",2007,"Latin America",2,"Deficient Democracy",0.69544892707007,0.771842861827117,0.719435406596019,"fEC",0.041,0.532,0.427,"fEc",0.831,0.069,0.086,0.015,"FEC",0.466,0.406,0.049,0.015,0.063,"FEc",0.014,0.13,0.039,0.048,0.24,0.529
"Argentina","ARG",2008,"Latin America",2,"Deficient Democracy",0.681304289082936,0.780011370276958,0.702680273038799,"fEC",0.043,0.541,0.416,"fEc",0.999,0,0,0,"fEc",0.069,0.891,0.016,0.005,0.019,"FEc",0.01,0.065,0.03,0.035,0.403,0.457
"Argentina","ARG",2009,"Latin America",0,"Deficient Democracy",0.678383287955137,0.79052258555157,0.689768524192597,"FEc",0.055,0.455,0.49,"fEc",0.915,0.041,0.035,0.009,"fEc",0.052,0.904,0.02,0.005,0.018,"FEc",0.013,0.063,0.04,0.038,0.404,0.443
"Argentina","ARG",2010,"Latin America",0,"Deficient Democracy",0.678154311262511,0.79052258555157,0.687849470389766,"FEc",0.056,0.442,0.502,"fEc",0.901,0.048,0.04,0.01,"fEc",0.061,0.887,0.024,0.007,0.021,"FEc",0.013,0.064,0.042,0.039,0.388,0.453
"Argentina","ARG",2011,"Latin America",0,"Deficient Democracy",0.693936216512809,0.793802414753652,0.694233371573994,"FEc",0.053,0.344,0.603,"fEc",0.872,0.071,0.045,0.013,"fEc",0.122,0.782,0.049,0.012,0.035,"FEc",0.012,0.06,0.043,0.031,0.232,0.623
"Argentina","ARG",2012,"Latin America",0,"Deficient Democracy",0.694194064266458,0.796418001133456,0.690339957123721,"FEc",0.057,0.333,0.61,"fEc",0.826,0.097,0.058,0.018,"fEc",0.135,0.746,0.062,0.015,0.041,"FEc",0.014,0.065,0.051,0.035,0.24,0.595
"Argentina","ARG",2013,"Latin America",0,"Deficient Democracy",0.687026518216912,0.748110279568707,0.682266004900064,"FEc",0.024,0.119,0.857,"fEc",0.699,0.201,0.076,0.024,"FEC",0.486,0.342,0.103,0.02,0.049,"FEc",0,0.004,0.002,0.001,0.004,0.989
"Argentina","ARG",2014,"Latin America",0,"Deficient Democracy",0.687126215650481,0.747704466654765,0.679020966536559,"FEc",0.023,0.103,0.875,"fEc",0.676,0.223,0.076,0.025,"FEC",0.459,0.353,0.116,0.021,0.05,"FEc",0,0,0,0,0,0.999
"Argentina","ARG",2015,"Latin America",0,"Deficient Democracy",0.673725903657515,0.748092723316833,0.690952087801335,"FEc",0.041,0.412,0.546,"fEc",0.856,0.068,0.063,0.013,"FEC",0.452,0.425,0.054,0.015,0.054,"FEc",0.01,0.094,0.032,0.033,0.166,0.665
"Argentina","ARG",2016,"Latin America",0,"Working Democracy",0.697475236919601,0.762844066691881,0.780679922866639,"fEC",0.099,0.732,0.169,"fEC",0.035,0.018,0.936,0.012,"fEC",0.16,0.084,0.036,0.031,0.689,"fEC",0.032,0.22,0.035,0.515,0.113,0.085
"Argentina","ARG",2017,"Latin America",2,"Deficient Democracy",0.681656142912839,0.749142183972257,0.766789840805862,"fEC",0.097,0.739,0.164,"fEC",0.029,0.014,0.947,0.01,"fEC",0.142,0.077,0.032,0.028,0.72,"fEC",0.03,0.2,0.033,0.548,0.11,0.08
"Armenia","ARM",1990,"Post-Soviet States (without EU-members)",2,"Deficient Democracy",0.516022985373239,0.680944953809154,0.440484960532362,"FEc",0.151,0.35,0.499,"fEc",0.428,0.298,0.177,0.097,"fEc",0.212,0.367,0.224,0.072,0.125,"FEc",0.058,0.132,0.174,0.097,0.249,0.289
"Australia","AUS",1901,"North America incl. AUS+NZ",0,"Deficient Democracy",0.789227625251079,0.62397380052718,0.782116336611257,"FeC",0.875,0.054,0.071,"FeC",0.019,0.034,0.026,0.921,"FeC",0.016,0.008,0.017,0.947,0.012,"FeC",0.968,0.011,0.008,0.005,0.004,0.005
"Australia","AUS",1902,"North America incl. AUS+NZ",0,"Deficient Democracy",0.789227625251079,0.628638422394553,0.7852447272448,"FeC",0.879,0.052,0.068,"FeC",0.018,0.032,0.025,0.925,"FeC",0.015,0.008,0.015,0.953,0.01,"FeC",0.974,0.009,0.006,0.004,0.003,0.004
"Australia","AUS",1903,"North America incl. AUS+NZ",0,"Working Democracy",0.783917373692815,0.674818077501222,0.82274597931729,"FeC",0.815,0.088,0.096,"FeC",0.05,0.075,0.085,0.79,"FeC",0.072,0.036,0.055,0.775,0.061,"FeC",0.726,0.101,0.048,0.054,0.031,0.04
"Australia","AUS",1904,"North America incl. AUS+NZ",0,"Working Democracy",0.783917373692815,0.674818077501222,0.82274597931729,"FeC",0.815,0.088,0.096,"FeC",0.05,0.075,0.085,0.79,"FeC",0.072,0.036,0.055,0.775,0.061,"FeC",0.726,0.101,0.048,0.054,0.031,0.04
"Australia","AUS",1905,"North America incl. AUS+NZ",0,"Working Democracy",0.783917373692815,0.674818077501222,0.82274597931729,"FeC",0.815,0.088,0.096,"FeC",0.05,0.075,0.085,0.79,"FeC",0.072,0.036,0.055,0.775,0.061,"FeC",0.726,0.101,0.048,0.054,0.031,0.04
"Australia","AUS",1906,"North America incl. AUS+NZ",0,"Working Democracy",0.802185600593221,0.674731916818939,0.82274597931729,"FeC",0.87,0.059,0.071,"FeC",0.027,0.044,0.042,0.887,"FeC",0.033,0.016,0.028,0.898,0.025,"FeC",0.884,0.042,0.023,0.02,0.013,0.017
"Australia","AUS",1907,"North America incl. AUS+NZ",0,"Working Democracy",0.802185600593221,0.674731916818939,0.82274597931729,"FeC",0.87,0.059,0.071,"FeC",0.027,0.044,0.042,0.887,"FeC",0.033,0.016,0.028,0.898,0.025,"FeC",0.884,0.042,0.023,0.02,0.013,0.017
"Australia","AUS",1908,"North America incl. AUS+NZ",0,"Working Democracy",0.802185600593221,0.674731916818939,0.82274597931729,"FeC",0.87,0.059,0.071,"FeC",0.027,0.044,0.042,0.887,"FeC",0.033,0.016,0.028,0.898,0.025,"FeC",0.884,0.042,0.023,0.02,0.013,0.017
"Australia","AUS",1909,"North America incl. AUS+NZ",0,"Working Democracy",0.802159817621234,0.674731916818939,0.82274597931729,"FeC",0.87,0.059,0.071,"FeC",0.027,0.044,0.042,0.887,"FeC",0.033,0.016,0.028,0.898,0.025,"FeC",0.884,0.042,0.023,0.02,0.013,0.017
"Australia","AUS",1910,"North America incl. AUS+NZ",0,"Working Democracy",0.818104174532654,0.66357379818255,0.82274597931729,"FeC",0.869,0.058,0.073,"FeC",0.022,0.037,0.031,0.909,"FeC",0.02,0.01,0.019,0.937,0.015,"FeC",0.957,0.015,0.01,0.007,0.005,0.007
"Australia","AUS",1911,"North America incl. AUS+NZ",0,"Working Democracy",0.818104174532654,0.66357379818255,0.82274597931729,"FeC",0.869,0.058,0.073,"FeC",0.022,0.037,0.031,0.909,"FeC",0.02,0.01,0.019,0.937,0.015,"FeC",0.957,0.015,0.01,0.007,0.005,0.007
"Australia","AUS",1912,"North America incl. AUS+NZ",0,"Working Democracy",0.818104174532654,0.66357379818255,0.82544595035768,"FeC",0.86,0.062,0.077,"FeC",0.025,0.042,0.036,0.897,"FeC",0.024,0.012,0.022,0.924,0.018,"FeC",0.942,0.02,0.013,0.01,0.007,0.009
"Australia","AUS",1913,"North America incl. AUS+NZ",0,"Working Democracy",0.786266099867553,0.688630537901313,0.82544595035768,"FeC",0.82,0.086,0.094,"FeC",0.053,0.08,0.093,0.773,"FeC",0.085,0.04,0.061,0.743,0.071,"FeC",0.669,0.128,0.056,0.064,0.036,0.047
"Australia","AUS",1914,"North America incl. AUS+NZ",0,"Working Democracy",0.808440830496832,0.663918610510948,0.821274029257849,"FeC",0.865,0.061,0.074,"FeC",0.025,0.041,0.037,0.898,"FeC",0.025,0.013,0.022,0.921,0.019,"FeC",0.932,0.024,0.014,0.012,0.008,0.01
"Australia","AUS",1915,"North America incl. AUS+NZ",0,"Working Democracy",0.807112124219731,0.663918610510948,0.821274029257849,"FeC",0.863,0.062,0.075,"FeC",0.026,0.042,0.038,0.894,"FeC",0.026,0.013,0.024,0.917,0.02,"FeC",0.926,0.026,0.016,0.013,0.008,0.011
"Australia","AUS",1916,"North America incl. AUS+NZ",0,"Working Democracy",0.787741612128417,0.657407015552358,0.821274029257849,"FeC",0.812,0.089,0.099,"FeC",0.046,0.069,0.073,0.812,"FeC",0.058,0.03,0.047,0.817,0.049,"FeC",0.8,0.07,0.038,0.039,0.024,0.03
"Australia","AUS",1917,"North America incl. AUS+NZ",0,"Working Democracy",0.781974218032946,0.642329357139403,0.821274029257849,"FeC",0.776,0.107,0.117,"FeC",0.057,0.083,0.092,0.768,"FeC",0.071,0.038,0.059,0.769,0.063,"FeC",0.753,0.082,0.047,0.05,0.03,0.037
"Australia","AUS",1918,"North America incl. AUS+NZ",0,"Working Democracy",0.799202030386258,0.655817736300354,0.822820515861781,"FeC",0.827,0.08,0.093,"FeC",0.038,0.06,0.058,0.844,"FeC",0.044,0.023,0.038,0.86,0.035,"FeC",0.861,0.047,0.028,0.026,0.016,0.021
"Australia","AUS",1919,"North America incl. AUS+NZ",0,"Working Democracy",0.813489964261369,0.671148519211089,0.827111693441822,"FeC",0.867,0.06,0.073,"FeC",0.024,0.04,0.036,0.899,"FeC",0.025,0.013,0.022,0.921,0.019,"FeC",0.93,0.024,0.015,0.012,0.008,0.011
"Australia","AUS",1920,"North America incl. AUS+NZ",0,"Working Democracy",0.817882877452693,0.671148519211089,0.830083011766855,"FeC",0.862,0.062,0.076,"FeC",0.025,0.042,0.037,0.895,"FeC",0.025,0.013,0.023,0.92,0.019,"FeC",0.932,0.023,0.015,0.012,0.008,0.01
